"Front","Back"
"Meticulous শব্দের অর্থ কি?","যত্নবান<br><br><strong>ব্যাখ্যা:</strong> <i>Meticulous</i> [মিটিকউলাস] (adjective)<br><b>English Meaning:</b> Giving or showing careful attention to every detail.<br><b>Bangla Meaning:</b> খুঁটিনাটির ব্যাপারে অতি যত্নশীল; অতি সতর্ক ও যথাযথ।<br><b>Synonyms:</b> Careful (সতর্ক /যত্নবান হওয়া), Thorough (সর্বতোভাবে; সম্পূর্ণ), Exacting (অধিক চাহিদাসম্পন্ন; কঠোর; কড়া).<br><b>Antonyms:</b> Careless (যত্নহীন), Sloppy (শৃঙ্খলাহীন; এলোমেলো), Slapdash (অসতর্ক (ভাবে)).<br><b>Other Forms:</b> Meticulously (adverb).<br><b>Example Sentence:</b> ‘Many hours of meticulous preparation have gone into writing the book.’"
"Praise শব্দের Antonym কোনটি?","All of the answers<br><br><strong>ব্যাখ্যা:</strong><ul><li><b>Praise</b> - প্রশংসা/গুণকীর্তন/তারিফ/সুখ্যাতি করা।</li><li>অপশনে উল্লিখিত শব্দগুলোর মধ্যে:<ul><li><b>Rebuke</b> - তিরস্কার বা ভর্ৎসনা করা।</li><li><b>Reprimand</b> - কঠোর তিরস্কার করা।</li><li><b>Scold</b> - তীব্র ভাষায় তিরস্কার করা; খিস্তিখেউড় করা; খিটিমিটি/খিচিমিচি করা।</li></ul></li><li>সুতরাং, অপশনে উল্লিখিত তিনটি শব্দই <b>Praise</b>-এর বিপরীত অর্থ প্রদান করছে।</li><li>তাই সঠিক উত্তর - All of the answers.</li></ul>"
"'Walking is good for health' এ বাক্যে walking শব্দটি?","Gerund<br><br><strong>ব্যাখ্যা:</strong><ul><li><i>Walking in the morning is good for health.</i> Here 'walking' is a <b>Gerund</b>.</li><li><b>Gerund:</b> Verb-এর সাথে <i>-ing</i> যোগ হয়ে noun-এর কাজ করে অর্থাৎ verb ও noun-এর কাজ করে, তাকে Gerund বলে।</li><li>Gerund: Verb + ing = noun = Verb + noun.</li><li>It is a word ending in '-ing' that is made from a verb and used like a noun.</li><li>Gerunds don't describe action, they act as nouns.</li><li>তাই, প্রদত্ত বাক্যে 'walking' একটি gerund.</li><li>অপশনের Noun এবং Gerund দুটিই সঠিক হয়। তবে এখানে Gerund অধিকতর সুনির্দিষ্টভাবে Walking শব্দটির বৈশিষ্ট্য প্রকাশ করছে। তাই অধিকগ্রহণযোগ্য উত্তর হবে - ঘ) Gerund.</li></ul>"
"He would ------- arrested if he had tried unfair means এখানে শূন্যস্থানে কী বসবে?","have been<br><br><strong>ব্যাখ্যা:</strong><ul><li>Conditional sentence-এ <i>if</i> যুক্ত Clause-টি Past Perfect হলে Main Clause-টি Perfect Conditional হয়।</li><li>অর্থাৎ, Subject-এর সাথে would have/could have/might have এবং Verb-এর Past Participle Form হয়।</li><li>Passive-এর বেলায় would have/could have/might have + been বসে।</li><li>এই নিয়মে গঠিত বাক্যগুলোকে third conditional জাতীয় বাক্য বলে।</li><li>তাই শূন্যস্থানে <b>have been</b> বসবে।</li><li><b>Complete sentence:</b> <i>He would have been arrested if he had tried unfair means.</i></li></ul>"
"'She copied the word' এ বাক্যে শব্দটি","Verb<br><br><strong>ব্যাখ্যা:</strong><ul><li><b>Copy</b> শব্দটি noun এবং verb হিসেবে ব্যবহৃত হওয়া একটি শব্দ।</li><li><b>Copy (noun)</b> - অনুকরণ; অনুকৃতি; অনুলিপি; প্রতিলিপি; নকল।</li><li><b>Copy (verb)</b> - প্রতিলিপি করা; অনুকরণ করা; নকল করা।</li><li>'She copied the word' এই বাক্যে <b>copied</b> শব্দটি হচ্ছে verb.</li><li>কারণ এর দ্বারা 'নকল করা' বোঝাচ্ছে।</li></ul>"
"'Thank you very much' এ বাক্যে very শব্দটি একটি","Adverb<br><br><strong>ব্যাখ্যা:</strong> <i>Very</i> শব্দটি <i>adverb</i> হিসেবে <i>much</i>-কে modify করেছে। এক্ষেত্রে <i>very</i> শব্দটি <i>adverb</i> হিসেবে সঠিক উত্তর।"
"One who deals in cattle is","drover (Note: Option 'drove' is likely a typo for 'drover')<br><br><strong>ব্যাখ্যা:</strong><ul><li>One who deals in cattle is - <b>drover</b>.</li><li><b>drover:</b><br><b>English Meaning:</b> (especially in the past) someone whose job is moving groups of animals, especially cattle or sheep, from one place to another.<br><b>Bangla Meaning:</b> এমন কেউ যার কাজ পশুদের দল, বিশেষ করে গবাদি পশু বা ভেড়াকে এক জায়গা থেকে অন্য জায়গায় নিয়ে যাওয়া।</li><li><b>অন্য অপশনগুলোর মধ্যে:</b><ul><li><b>auctioneer:</b><br><b>English Meaning:</b> A person in charge of an auction who calls out the prices that people offer.<br><b>Bangla Meaning:</b> নিলামদার; নিলামওয়ালা।</li><li><b>jockey:</b><br><b>English Meaning:</b> A person whose job is riding horses in races.<br><b>Bangla Meaning:</b> ঘোড়দৌড়ের পেশাদার ঘোড়সওয়ার।</li><li><b>seller:</b><br><b>English Meaning:</b> A person who is selling something.<br><b>Bangla Meaning:</b> বিক্রেতা।</li></ul></li></ul>"
"He will stick ---- nothing","to<br><br><strong>ব্যাখ্যা:</strong><ul><li><b>English Meaning:</b> To continue trying hard to do something difficult.</li><li><b>Example Sentence:</b> <i>He will stick at nothing to make money.</i></li><li><b>Complete sentence:</b> <i>He will stick <b>to</b> nothing.</i></li></ul>"
"Many শব্দের synonym কোনটি?","All of the answers<br><br><strong>ব্যাখ্যা:</strong><ul><li><b>Many</b> - বহু; বহুসংখ্যক; অনেক।</li><li><b>Several</b> - কতিপয়; কয়েক।</li><li><b>Numerous</b> - বিপুলসংখ্যক; অনেক; বহু।</li><li><b>Enormous</b> - প্রচুর; বিরাট।</li><li>অর্থাৎ, শব্দগুলোর অর্থ বিবেচনা করে দেখা যাচ্ছে সবগুলোই সঠিক।</li><li>সুতরাং, উত্তর - ক) All of the answers</li></ul>"
"Ernest Hemingway কোন দেশের সাহিত্যিক?","আমেরিকা<br><br><strong>ব্যাখ্যা:</strong><ul><li>Ernest Hemingway, in full Ernest Miller Hemingway is an <b>American novelist and short-story writer</b>.</li><li>He was noted both for the intense masculinity of his writing and for his adventurous and widely publicized life.</li><li>তাঁর সংক্ষিপ্ত এবং সুস্পষ্ট গদ্যশৈলী ২০ শতকে American and British কথাসাহিত্যে একটি শক্তিশালী প্রভাব ফেলেছিল।</li><li>তাঁর সবচেয়ে বিখ্যাত উপন্যাস হচ্ছে - <b><i>The Old Man and the Sea</i></b> যা প্রকাশিত হয় ১৯৫২ সালে।</li><li>এই উপন্যাসটির জন্য তিনি ১৯৫৩ সালে পুলিৎজার পুরস্কার পান; পরবর্তীকালে ১৯৫৪ সালে নোবেল পুরস্কার প্রাপ্তিতেও এটি বেশ ভূমিকা রাখে।</li><li><b>তাঁর বিখ্যাত novel সমূহ:</b><ul><li><i>The Sun Also Rises</i></li><li><i>The Old Man and the Sea</i></li><li><i>A Farewell to Arms</i></li><li><i>Green Hills of Africa</i> ইত্যাদি।</li></ul></li><li><i>The Sun Also Rises</i> তাঁর প্রথম novel যা Novelist হিসেবে ইংরেজি সাহিত্যে তাঁকে প্রতিষ্ঠিত হতে গুরুত্বপূর্ণ ভূমিকা পালন করেছে।</li></ul>"
