"front","back"
"খন্দকের যুদ্ধকে আরবীতে আর কী বলা হয় এবং কেন?","খন্দকের যুদ্ধকে আহযাব বলা হয় কারণ এতে একাধিক বাহিনী (কাফিরদের সম্মিলিত বাহিনী) অংশ নিয়েছিল।"
"খন্দকের যুদ্ধ অন্য কী নামে পরিচিত?","পরিখা যুদ্ধ (খন্দক যুদ্ধ) নামে পরিচিত।"
"খন্দকের যুদ্ধের জন্য কাদেরা মিলিত হয়ে প্রায় কত হাজার লোকের বাহিনী গঠন করেছিলো?","ইহুদী ও কুরাইশদের সমবায়ে প্রায় দশ হাজার লোকের একটি বাহিনী গঠন করা হয়েছিল।"
"খন্দক খননের পর মুসলমানদের সংখ্যাটি কত ছিলো যারা কাজ করেছিল?","তিন হাজার মুসলিম অংশ নেয়া।"
"খন্দক খননের পরিকল্পনা কার দেওয়া ছিল এবং তিনি কী ছিলেন?","হযরত সালমান ফারসীর (রা) পরামর্শ দেন; তিনি تھے সালমান ফারসী নামক সাহাবী।"
"খন্দক (পরিখা) খননের উদ্দেশ্য কী ছিলো?","মদীনার নিরাপদ স্থানে শত্রুকে সরাসরি হামলা না করতে বাধ্য করা এবং শহর রক্ষাসহ পরিস্থিতি নিয়ন্ত্রিত রাখা।"
"খন্দকের খনন কাজ কখন থেকে শুরু হয়েছিল (হিজরীতে)?","পঞ্চম হিজরীর ৮ জিলকদ্থেকে খনন কাজ শুরু হয়।"
"পরিখার প্রস্থ ও গভীরতা কত ছিলো?","প্রস্থ পাঁচ গজ এবং গভীরতা পাঁচ গজ।"
"পরিখা খননে মুসলমানরা কতদিনে কাজ শেষ করে?","বিশ দিনে (২০ দিনে) পরিখা খনন সম্পন্ন করা হয়।"
"খন্দক খননের সময় নবী (স) যে বড় পাথর ভাঙার মর্মজাদু ঘটিয়েছিলেন, সেটি কী ব্যাপার হিসেবে বর্ণিত?","নবী (স)-এর একটি বিশিষ্ট মু’জিজা হিসেবে বর্ণিত—তিনি জোরে কোদাল মেরে পাথরটি ভেঙে চুরমার করেন।"
"খন্দক যুদ্ধের সময় কাফির বাহিনী কীভাবে বিভক্ত হয়ে আক্রমণ করেছিলো?","তারা তিন দলে বিভক্ত হয়ে তিন দিক থেকে মদীনার ওপর হামলা চালায়।"
"কুরআনের কোন সূরার আয়াতগুলি খন্দক যুদ্ধের আক্রমণের চিত্রায়ণ করে?","সূরা আহযাবের ১০ ও ১১ নং আয়াতগুলিতে এই হামলার চিত্র বর্ণিত।"
"খন্দক যুদ্ধের সময় মুসলমানদের কী কঠিন কষ্ট পোহাতে হয়েছিলো?","প্রচণ্ড শীত, খাদ্য-সংকট, কয়েক বেলা অনশন, রাতের ঘুম-দিনের বিশ্রামের অভাব ও শত্রুদের ভয়।"
"খন্দক যুদ্ধের সময় কোন ধরনের মানুষরা দুর্বলতা দেখালো এবং কী করলো?","মুনাফিক ও দুর্বল ঈমানধারীরা ভয় পেয়ে অনুরূপ বাহানা করে পিছিয়ে পড়লো বা পালিয়ে গেলো।"
"খন্দক যুদ্ধের সময় ঈমানের প্রকৃত পরীক্ষায় যারা টিকে রইলো তাদের মনোভাব কিরূপ ছিলো?","যারা সত্যিকারভাবে ঈমানদার ছিলো তারা আল্লাহ ও রাসূলের ওয়াদা মনে করে তাদের ঈমান আরো শক্তি লাভ করলো ও আনুগত্য বাড়লো।"
