"front","back"
"হুদাইবিয়ার সন্ধি অনুযায়ী আরব গোত্রগুলো কী অধিকার পেয়েছিলো?","তারা মুসলমান ও কাফিরদের মধ্যে যে কোনো পক্ষের সঙ্গে চুক্তি করতে পারবে।"
"হুদাইবিয়ার চুক্তি অনুযায়ী বনু খোজা‘আ গোত্র কার সঙ্গে চুক্তিবদ্ধ হয়েছিলো?","মুসলমানদের সঙ্গে।"
"হুদাইবিয়ার চুক্তি অনুযায়ী বনু বকর গোত্র কার সঙ্গে মৈত্রী স্থাপন করেছিলো?","কুরাইশদের সঙ্গে।"
"বনু বকর গোত্র খোজা‘আদের উপর আক্রমণ করলে কুরাইশরা কী করেছিলো?","তারা বনু বকরকে সাহায্য করেছিলো।"
"খোজা‘আ গোত্র কার কাছে সাহায্য চায়?","হযরত মুহাম্মদ (স)-এর কাছে।"
"হযরত (স) কুরাইশদের কাছে কয়টি বিকল্প প্রস্তাব পাঠান?","তিনটি।"
"হযরত (স)-এর প্রস্তাবের একটি কী ছিলো?","খোজা‘আদের নিহত লোকদের ক্ষতিপূরণ দিতে হবে।"
"হযরত (স)-এর প্রস্তাবের দ্বিতীয়টি কী ছিলো?","বনু বকরের সঙ্গে কুরাইশদের সম্পর্কচ্ছেদ করতে হবে।"
"হযরত (স)-এর প্রস্তাবের তৃতীয়টি কী ছিলো?","হুদাইবিয়ার চুক্তি বাতিল ঘোষণা করতে হবে।"
"কোন কুরাইশ ব্যক্তি তৃতীয় শর্ত সমর্থন করেছিলো?","কোরতা বিন্‌ উমর।"
"হুদাইবিয়ার চুক্তি পুনঃস্থাপনের জন্য কুরাইশরা কাকে প্রেরণ করেছিলো?","আবু সুফিয়ানকে।"
"মক্কা অভিযানের সময় মুসলিম বাহিনীর সংখ্যা কত ছিলো?","প্রায় দশ হাজার।"
"মক্কা অভিযানে হযরত (স) কোন মাসে রওনা হয়েছিলেন?","অষ্টম হিজরীর ১০ রমযান।"
"হযরত (স) কেন কঠোর গোপনীয়তা অবলম্বন করেছিলেন?","যাতে মক্কাবাসীরা অভিযানের খবর জানতে না পারে।"
"আবু সুফিয়ান মুসলিম বাহিনীর খবর নিতে গিয়ে কী ঘটেছিলো?","তাকে গ্রেফতার করা হয়েছিলো।"
"আবু সুফিয়ানকে হত্যার পরিবর্তে হযরত (স) কী করেছিলেন?","তাকে ক্ষমা করে দেন।"
"আবু সুফিয়ানকে ক্ষমা করার পর তার প্রতিক্রিয়া কী ছিলো?","তিনি ইসলাম গ্রহণ করেন।"
"হযরত (স) খালিদ বিন ওয়ালিদকে কী নির্দেশ দিয়েছিলেন?","পিছন দিক থেকে মক্কায় প্রবেশ করতে, কিন্তু কাউকে হত্যা না করতে।"
"হযরত খালিদের বাহিনীর ওপর তীর নিক্ষেপ করলে কী হয়?","১৩ জন হামলাকারী নিহত হয়, বাকিরা পালিয়ে যায়।"
"হযরত (স) মক্কায় প্রবেশ করে কী ঘোষণা দেন?","সাধারণ ক্ষমা ঘোষণা করেন।"
"মক্কায় নিরাপত্তার তিনটি শর্তের একটি কী ছিলো?","যে নিজের ঘরে দরজা বন্ধ করবে, সে নিরাপদ।"
"অন্য একটি নিরাপত্তা শর্ত কী ছিলো?","যে আবু সুফিয়ানের ঘরে প্রবেশ করবে, সে নিরাপদ।"
"আরও একটি নিরাপত্তা শর্ত কী ছিলো?","যে কা’বা ঘরে আশ্রয় নেবে, সেও নিরাপদ।"
"সাধারণ ক্ষমা থেকে কয়জন ব্যতিক্রম ছিলো?","ছয়-সাতজন।"
"হযরত (স) মক্কায় প্রবেশকালে তাঁর পতাকার রং কী ছিলো?","সাদা ও কালো।"
"মক্কায় প্রবেশের সময় হযরত (স) কোন সূরা তিলাওয়াত করছিলেন?","সূরা ফাতহ (ইন্না ফাতাহনা)।"
"হযরত (স) কা’বা গৃহে প্রবেশ করে কী করেন?","মূর্তি ও চিত্র ধ্বংসের নির্দেশ দেন।"
"কা’বা ঘরে কতটি মূর্তি ছিলো?","৩৬০টি।"
"কা’বা ঘর পরিষ্কারের পর হযরত (স) কী করলেন?","তাকবীর উচ্চারণ করে তওয়াফ ও নামায আদায় করলেন।"
