"front","back"
"হুনাইনের যুদ্ধ কোন দুটি আরব গোত্রের মধ্যে হয়েছিল?","হাওয়াজেন ও সাকীফ গোত্রের মধ্যে মুসলমানদের যুদ্ধ হয়েছিল।"
"হুনাইনের যুদ্ধ সংঘটিত হয়েছিল হিজরীর কত সালে?","অষ্টম হিজরীর ১০ শাওয়াল তারিখে।"
"হুনাইন উপত্যকা কোথায় অবস্থিত ছিল?","মক্কা ও তায়েফের মধ্যবর্তী একটি উপত্যকায়।"
"হুনাইনের যুদ্ধের সময় মুসলমানদের সৈন্য সংখ্যা কত ছিল?","প্রায় বারো হাজার।"
"হাওয়াজেন ও সাকীফ গোত্র কেন মুসলমানদের আক্রমণ করার সিদ্ধান্ত নেয়?","তারা ইসলামের অগ্রগতি দেখে ঈর্ষান্বিত ও ভীত হয়ে মুসলমানদের মুকাবিলা করার সিদ্ধান্ত নেয়।"
"হাওয়াজেন ও সাকীফ গোত্র কাকে তাদের নেতা বানায়?","মালিক ইবনে আওফ নাযারীকে।"
"মুসলমানদের মধ্যে আত্মবিশ্বাস অতিরিক্ত বেড়ে যাওয়ায় আল্লাহ কোন আয়াতে তাদের সতর্ক করেন?","সূরা তাওবা, আয়াত ২৫-২৬: 'হুনাইনের দিনকে স্মরণ করো...'।"
"হুনাইনের যুদ্ধে মুসলমানদের প্রথমে বিপর্যয়ের কারণ কী ছিল?","দুশমনরা পাহাড় থেকে আকস্মিক তীর বর্ষণ করায় মুসলমানদের মধ্যে বিশৃঙ্খলা সৃষ্টি হয়।"
"হুনাইনের যুদ্ধে মুসলমানরা প্রথমে কীভাবে প্রতিক্রিয়া দেখায়?","অনেক সৈন্য পলায়ন করে এবং কিছু সময়ের জন্য ময়দান ত্যাগ করে।"
"হুনাইনের যুদ্ধে নবী করীম (স) কীভাবে প্রতিক্রিয়া দেখান?","তিনি দৃঢ়তা ও প্রশান্ত চিত্তে যুদ্ধক্ষেত্রে স্থির থাকেন এবং সাহাবীদের পুনরায় যুদ্ধ করতে আহ্বান জানান।"
"হুনাইনের যুদ্ধে মুসলমানদের মনোবল কীভাবে ফিরে আসে?","নবী করীম (স)-এর ধৈর্য ও সাহস দেখে তারা পুনরায় ময়দানে ফিরে আসে এবং যুদ্ধ জয় করে।"
"হুনাইনের যুদ্ধে কে জয়লাভ করে?","মুসলমানরা সম্পূর্ণরূপে জয়লাভ করে।"
"হুনাইনের যুদ্ধে কতজন কাফির নিহত হয়?","প্রায় ৭০ জন কাফির নিহত হয়।"
"হুনাইনের যুদ্ধে কতজন কাফির বন্দী হয়?","সহস্রাধিক কাফির বন্দী হয়।"
"যুদ্ধ শেষে কাফিররা কোথায় পালিয়ে আশ্রয় নেয়?","তারা তায়েফ শহরে পালিয়ে আশ্রয় নেয়।"
"তায়েফ শহর কেন কাফিরদের কাছে নিরাপদ মনে করা হতো?","তায়েফে একটি মজবুত দুর্গ ছিল, যেখানে তারা আশ্রয় নিতে পারতো।"
"হযরত (স) তায়েফ অবরোধ কতদিন অব্যাহত রাখেন?","প্রায় বিশ দিন।"
"তায়েফ অবরোধ শেষে নবী করীম (স) কী করেন?","তিনি অবরোধ তুলে নেন এবং দোআ করেন।"
"নবী করীম (স) তায়েফের জন্য কী দোআ করেন?","‘হে আল্লাহ! সাকীফ গোত্রকে সুপথ প্রদর্শন করো এবং তাদেরকে আমার কাছে আসার তাওফিক দাও।’"
"হুনাইনের যুদ্ধ থেকে মুসলমানদের কী শিক্ষা পাওয়া যায়?","আল্লাহর ওপর নির্ভর করতে হবে, নিজের সংখ্যা বা শক্তির ওপর নয়।"
"হুনাইনের যুদ্ধে আল্লাহ মুসলমানদের কীভাবে সাহায্য করেন?","তিনি সান্ত্বনা ও প্রশান্তি নাযিল করেন এবং অদৃশ্য সৈন্যবাহিনী প্রেরণ করেন।"
"হুনাইনের যুদ্ধের শিক্ষায় কুরআনের কোন সূরায় উল্লেখ আছে?","সূরা তাওবা, আয়াত ২৫-২৬।"
"মুসলমানদের সংখ্যাধিক্যে আত্মতৃপ্তি প্রকাশের ফল কী হয়েছিল?","তারা প্রথমে পরাজিত হয়ে পলায়ন করেছিল।"
"হুনাইনের যুদ্ধের সময় নবী করীম (স)-এর চরিত্রের কোন গুণটি সবচেয়ে স্পষ্ট হয়?","অসীম ধৈর্য, দৃঢ়তা ও দয়ার মনোভাব।"
"হুনাইনের যুদ্ধের শেষে নবী করীম (স) বিরোধীদের জন্য কী মনোভাব প্রকাশ করেন?","তিনি তাদের জন্য কল্যাণ ও হিদায়াত কামনা করেন।"
"হুনাইনের যুদ্ধের ঘটনাটি মুসলমানদের কী বিষয়ে সতর্ক করে?","অহংকার ও আত্মবিশ্বাসের অতিরিক্ততায় পতন ঘটে; ঈমান ও আল্লাহর ভরসাই প্রকৃত শক্তি।"
"হাওয়াজেন ও সাকীফ গোত্রের পরাজয়ের পর নবী করীম (স) কীভাবে আচরণ করেন?","তিনি ক্ষমা ও দোআর মাধ্যমে দয়ার উদাহরণ স্থাপন করেন।"
"হুনাইনের যুদ্ধ ইসলামী ইতিহাসে কেন গুরুত্বপূর্ণ?","এটি ইসলামের দৃঢ়তা, নবী করীম (স)-এর নেতৃত্ব ও আল্লাহর সাহায্যের এক মহান দৃষ্টান্ত।"
"হুনাইনের যুদ্ধে মুসলমানদের প্রাথমিক পরাজয়ের কারণ কীভাবে আল্লাহ কুরআনে ব্যাখ্যা করেন?","তারা নিজেদের সংখ্যাধিক্যে তুষ্ট হয়েছিল, অথচ তা কোনো উপকারে আসেনি।"
"হুনাইনের যুদ্ধের মাধ্যমে নবী করীম (স) কী শিক্ষা দিলেন?","জয় আসে আল্লাহর সাহায্যে, অহংকার নয় বরং বিনয়ই মুমিনের গুণ।"
"হুনাইনের যুদ্ধের পর তায়েফ অবরোধের ফলাফল কী ছিল?","অবরোধ তুলে নেওয়া হয়, এবং নবী করীম (স) তাদের জন্য দোআ করেন।"
"হুনাইনের যুদ্ধের পর আল্লাহ মুসলমানদের কী আশীর্বাদ দেন?","শান্তি, স্থিরতা ও বিজয় দান করেন।"
"হুনাইনের যুদ্ধের পর ইসলামের অবস্থান কীভাবে আরও শক্তিশালী হয়?","আরবের বহু গোত্র ইসলামের প্রতি অনুপ্রাণিত হয় ও ইসলাম গ্রহণ করে।"
"হাওয়াজেন ও সাকীফ গোত্রের আক্রমণের মূল উদ্দেশ্য কী ছিল?","ইসলামের ক্রমবর্ধমান শক্তিকে থামানো ও নিজেদের অস্তিত্ব রক্ষা করা।"
"হুনাইনের যুদ্ধে নবী করীম (স)-এর আচরণ ইসলামের কোন মূলনীতির প্রতিফলন?","দয়া, ক্ষমা, এবং আল্লাহর ওপর পূর্ণ ভরসা।"
