"front","back"
"হিজরতের পর ইসলামী আন্দোলনের সামনে নতুন কোন চ্যালেঞ্জ দেখা দেয়?","মদিনার ইহুদীদের সাথে সম্পর্ক নির্ধারণ এবং একটি ইসলামী রাষ্ট্র প্রতিষ্ঠার চ্যালেঞ্জ"
"মদিনার ইহুদীদের মূল সমস্যা কী ছিল?","তারা তাওহীদ, রিসালাত ইত্যাদি বিশ্বাস করলেও তাদের জীবনে খোদায়ী শরীয়at থেকে বিচ্ছিন্ন হয়ে পড়েছিল এবং বহু কুসংস্কার ও বিদ'আত প্রবেশ করেছিল"
"মদিনায় ইসলামী রাষ্ট্র প্রতিষ্ঠার পর প্রথম কোন কাজটি করা হয়?","আনসার ও মুহাজিরদের মধ্যে ভ্রাতৃত্ববন্ধন প্রতিষ্ঠা এবং মদিনার সনদ প্রণয়ন"
"মদিনার সনদ কী?","এটি ছিল বিশ্বের প্রথম লিখিত সংবিধান যা মদিনায় বসবাসকারী মুসলিম, ইহুদী ও অন্যান্য সম্প্রদায়ের মধ্যে শান্তি ও সহাবস্থান নিশ্চিত করেছিল"
"মদিনার সনদের মূল উদ্দেশ্য কী ছিল?","বিভিন্ন গোত্র ও ধর্মের মধ্যে ঐক্য, সংহতি ও শান্তি প্রতিষ্ঠা করা"
"মদিনার সনদে মুসলমান, ইহুদী ও অন্যান্যদের সম্পর্ক কীভাবে সংজ্ঞায়িত করা হয়?","তারা সকলেই একটি মহাজাতি গঠন করবে এবং সকলের সমান অধিকার ও নিরাপত্তা থাকবে"
"মদিনার সনদে শান্তি ও যুদ্ধ সম্পর্কে কী বলা হয়েছে?","শান্তি ও যুদ্ধের অবস্থা সকল মুসলমানের জন্য অভিন্ন হবে এবং কোনো ব্যক্তি এককভাবে শত্রুর সাথে শান্তিচুক্তি করতে পারবে না"
"মদিনার সনদে অপরাধীদের ব্যাপারে কী নির্দেশনা দেওয়া হয়েছে?","অপরাধীদের সন্ধান করা হবে এবং শান্তি দেওয়া হবে, আর কোনো মুসলমান অপরাধীকে সমর্থন করবে না যদিও সে তার আত্মীয় হয়"
"মদিনার সনদে বিবাদ নিষ্পত্তির জন্য কী বলা হয়েছে?","সকল বিবাদ আল্লাহর রাসূল (স.)-এর কাছে প্রেরণ করা হবে"
"হিজরতের পর ইসলামী আন্দোলনের কর্তব্যসমূহ কী কী হয়ে দাঁড়ায়?","১. জিহাদের আদর্শ প্রচার ২. বিরুদ্ধবাদীদের আকিদার অসারতা প্রমাণ ৩. মুহাজিরদের পুনর্বাসন ও শিক্ষা ৪. মুসলমানদের প্রতিরক্ষার জন্য প্রস্তুত করা ৫. বাধাদানকারীদের মোকাবেলা"
"মদিনার ইহুদীদের সাথে রাসূল (স.) কী ধরনের চুক্তি করেছিলেন?","নিরপেক্ষতার চুক্তি - তারা মুসলমানদের পক্ষে বা বিপক্ষে লড়াই করবে না"
"ইসলামী পরিভাষায় 'মুনাফিক' কাকে বলে?","যারা বাহ্যিকভাবে মুসলমান কিন্তু অন্তরে ঈমান নেই এবং ফিতনা সৃষ্টির উদ্দেশ্যে ইসলামী সংগঠনে অনুপ্রবেশ করে"
"মদিনায় মুনাফিকদের কয়টি শ্রেণী ছিল?","১. যারা ঈমানের দুর্বলতায় পার্থিব স্বার্থ ত্যাগ করতে পারত না ২. যারা আদৌ ঈমানই আনেনি ৩. সুযোগসন্ধানী যারা উভয় পক্ষ থেকে লাভের চেষ্টা করত"
"মুনাফিকরা ইসলামী আন্দোলনের জন্য কেন বেশি বিপজ্জনক ছিল?","কারণ তারা মিত্রের বেশে শত্রু ছিল এবং তাদের চিনতে ও মোকাবেলা করা কঠিন ছিল"
"কিবলা পরিবর্তন কখন হয়?","দ্বিতীয় হিজরীর শাবান মাসে"
"কিবলা পরিবর্তনের আগে মুসলমানরা কোন দিকে মুখ করে নামাজ পড়ত?","বায়তুল মুকাদ্দাসের দিকে"
"কিবলা পরিবর্তনের পর মুসলমানরা কোন দিকে মুখ করে নামাজ পড়তে শুরু করে?","কা'বার দিকে"
"কিবলা পরিবর্তন কীভাবে ঘটেছিল?","নামাজের মধ্যেই ওহীর মাধ্যমে নির্দেশ আসে এবং রাসূল (স.)即时 বায়তুল মুকাদ্দাস থেকে কা'বার দিকে মুখ ফিরান"
"কিবলা পরিবর্তনের গুরুত্ব কী?","এটি ছিল একটি পরীক্ষা - কে সত্যিকার অনুসারী আর কে পশ্চাদপসরণকারী, তা যাচাই করার জন্য"
"কিবলা পরিবর্তনের মাধ্যমে কী ঘোষণা করা হয়?","ইহুদীদের থেকে নেতৃত্ব অপসারণ করা হয়েছে এবং теперь উম্মতে মুহাম্মদীকে এই দায়িত্ব দেওয়া হয়েছে"
"কিবলা পরিবর্তনের প্রভাব কী ছিল?","অনেক মুনাফিকের মুখোশ খসে পড়ে এবং তারা ইসলামী সংগঠন থেকে বিচ্ছিন্ন হয়ে যায়"
"সূরা বাকারার ১৪৩ নং আয়াতে কিবলা পরিবর্তনের কারণ কী বলা হয়েছে?","'যাতে আমরা জানতে পারি কে রাসূলের অনুসারী আর কে পশ্চাদপসরণকারী'"
"মদিনার সনদে ইহুদীদের কী অধিকার দেওয়া হয়েছিল?","তাদের নিজ ধর্ম পালনের স্বাধীনতা এবং মুসলমানদের মতোই নিরাপত্তা ও স্বাধীনতা"
"মদিনায় ইসলামী রাষ্ট্র প্রতিষ্ঠার পর মুসলমানদের প্রধান শত্রু কারা ছিল?","মক্কার কুরাইশরা এবং মুনাফিকরা"
"হিজরতের পর ইসলামী আন্দোলনের কৌশলে কী পরিবর্তন আসে?","এটি শুধু দাওয়াতের পর্যায় থেকে রাষ্ট্রীয় ও সামাজিক সংস্কারের পর্যায়ে উন্নীত হয়"
"মদিনার সনদে 'মহাজাতি' ধারণাটির অর্থ কী?","বিভিন্ন গোত্র ও ধর্মের মানুষ একই রাজনৈতিক সমাজের সদস্য"
"কিবলা পরিবর্তনের ঘটনা কোথায় ঘটেছিল?","মদিনায়"
"কিবলা পরিবর্তনের সময় রাসূল (স.) কোন মসজিদে নামাজ পড়ছিলেন?","মসজিদে কিবলাতাইন (দুই কিবলার মসজিদ)"
"মুনাফিকদের চিহ্নিত করতে কিবলা পরিবর্তন কীভাবে সাহায্য করেছিল?","যারা অন্তরে ঈমান রাখত না তারা এই পরিবর্তনের তীব্র সমালোচনা করেছিল"
"মদিনার সনদ প্রণয়নের মাধ্যমে রাসূল (স.) কী প্রমাণ করেছিলেন?","ইসলাম একটি সামগ্রিক জীবনব্যবস্থা যা শান্তি ও ন্যায়ের ভিত্তিতে বহু-সাংস্কৃতিক সমাজ গঠন করতে পারে"
"হিজরতের পর ইসলামী রাষ্ট্রের প্রথম সামরিক চ্যালেঞ্জ কী ছিল?","বদরের যুদ্ধ"
"মদিনার সনদে সকল সম্প্রদায়ের জন্য কী অঙ্গীকার করা হয়েছিল?","মদিনার অভ্যন্তর সকলের জন্য একটি পবিত্র স্থান হবে এবং সেখানে নিরাপত্তা বজায় থাকবে"
"কিবলা পরিবর্তনের মাধ্যমে ইহুদীদের সাথে সম্পর্কে কী ইঙ্গিত দেওয়া হয়?","ইহুদীদেরকে নেতৃত্বের অবস্থান থেকে সরানো হয়েছে এবং এখন মুসলমানরা নেতৃত্বের দায়িত্ব পেয়েছে"
"মদিনায় ইসলামী রাষ্ট্র প্রতিষ্ঠার পর প্রথম কী ধরনের আইন প্রণয়ন করা হয়?","সামাজিক, অর্থনৈতিক ও রাজনৈতিক সম্পর্ক নিয়ন্ত্রণকারী বিধি-ব্যবস্থা"
"মুনাফিকরা ইসলামী রাষ্ট্রের জন্য কী ধরনের হুমকি ছিল?","তারা ভেতর থেকে বিভ্রান্তি ও অনৈক্য সৃষ্টি করত এবং গোপন তথ্য শত্রুদের কাছে পৌঁছে দিত"
"কিবলা পরিবর্তন কুরআনের কোন সূরায় বর্ণিত হয়েছে?","সূরা বাকারা"
"মদিনার সনদ প্রণয়নের সময়কাল কী?","হিজরতের পরপরই, ৬২২ খ্রিস্টাব্দে"
"মদিনার সনদের মাধ্যমে রাসূল (স.) কী ধরনের রাষ্ট্র প্রতিষ্ঠা করেছিলেন?","একটি বহু-ধর্মীয় ও বহু-গোত্রীয় রাষ্ট্র যেখানে সকল নাগরিকের সমান অধিকার রয়েছে"
"কিবলা পরিবর্তনের ঘটনা মুসলমানদের জন্য কী শিক্ষা বহন করে?","আল্লাহর নির্দেশে সম্পূর্ণ আত্মসমর্পণ এবং ঈমানের পরীক্ষায় অবিচল থাকা"
"মদিনায় ইসলামী রাষ্ট্র প্রতিষ্ঠার পর রাসূল (স.)-এর ভূমিকা কী পরিবর্তিত হয়?","তিনি শুধু নবী নন, теперь রাষ্ট্রপ্রধানও হয়ে গেলেন"
