"front","back"
"কা’বা শরীফ কে নির্মাণ করেছিলেন?","হযরত ইবরাহীম (আ) ও তাঁর পুত্র হযরত ইসমাঈল (আ)।"
"কা’বা ছিল ইসলামের কোন কেন্দ্র?","ইসলামের মূল কেন্দ্র।"
"মুসলমানরা কত বছর কা’বা থেকে বিচ্ছিন্ন ছিলেন হুদাইবিয়া চুক্তির আগে?","ছয় বছর।"
"হজ্জ ইসলামের কততম স্তম্ভ?","পঞ্চম মৌলিক স্তম্ভ।"
"কা’বা জিয়ারতের বাসনা মুসলমানদের মনে কেন তীব্র হয়ে ওঠে?","কারণ ছয় বছর ধরে তারা হজ্জ করতে পারেননি।"
"আরবরা বছরে কয় মাস যুদ্ধ বন্ধ রাখত হজ্জের সময়?","চার মাস।"
"হযরত মুহাম্মদ (স) কা’বা জিয়ারতের উদ্দেশ্যে কখন যাত্রা করেন?","ষষ্ঠ হিজরীর জিলকদ মাসে।"
"কা’বা জিয়ারতের সফরে কতজন মুসলমান অংশগ্রহণ করেন?","চৌদ্দ শ’ (১৪০০) জন মুসলমান।"
"যুল হুলায়ফা স্থানে পৌঁছে মুসলমানরা কী করলেন?","কুরবানীর প্রাথমিক রীতিসমূহ পালন করলেন।"
"মুসলমানদের উদ্দেশ্য কী ছিল এই সফরে?","শুধু কা’বা শরীফ জিয়ারত করা, যুদ্ধ নয়।"
"কুরাইশরা কী সিদ্ধান্ত নিয়েছিল মুহাম্মদ (স)-এর আগমনের খবর পেয়ে?","তারা মক্কায় প্রবেশে বাধা দিতে ও যুদ্ধের প্রস্তুতি নেয়।"
"হযরত মুহাম্মদ (স) কুরাইশদের খবর জানার জন্য কাকে পাঠান?","এক ব্যক্তিকে মক্কায় পাঠান (নামে উল্লেখ নেই)।"
"হুদাইবিয়া নামক স্থানটি কোথায় অবস্থিত?","মক্কা থেকে এক মঞ্জিল দূরে।"
"খোজায়া গোত্রের প্রধান হযরত (স)-এর কাছে কী বার্তা আনেন?","কুরাইশরা লড়াইয়ের প্রস্তুতি নিয়েছে ও মক্কায় প্রবেশে বাধা দেবে।"
"হযরত (স) খোজায়া প্রধানকে কী বার্তা পাঠাতে বলেন কুরাইশদের কাছে?","বলতে বলেন যে আমরা শুধু হজ্জের নিয়্যাতে এসেছি, যুদ্ধের জন্য নয়।"
"কুরাইশদের প্রতিনিধি ওরওয়া কী ভূমিকা পালন করেন?","তিনি হযরত (স)-এর সঙ্গে আলোচনায় আসেন কিন্তু মীমাংসা হয় না।"
"কুরাইশরা মুসলমানদের ওপর হামলা করতে কত বড় বাহিনী পাঠায়?","একটি ক্ষুদ্র বাহিনী।"
"হযরত (স) বন্দী কুরাইশ যোদ্ধাদের কী করেন?","তাঁদের ক্ষমা করে মুক্তি দেন।"
"সন্ধির আলোচনার জন্য হযরত উসমান (রা) কোথায় যান?","মক্কায়।"
"হযরত উসমান (রা)-কে কুরাইশরা কী করে?","তাঁকে আটক করে রাখে।"
"হযরত উসমান (রা)-এর নিহত হওয়ার গুজব শুনে মুসলমানরা কী প্রতিক্রিয়া দেখায়?","তারা প্রতিশোধ নেওয়ার শপথ নেয়।"
"‘রিযওয়ানের শপথ’ কোথায় গ্রহণ করা হয়?","একটি বাবলা গাছের নিচে।"
"‘রিযওয়ানের শপথ’-এর মূল বক্তব্য কী ছিল?","আমরা ধ্বংস হবো, তবু লড়াই থেকে পিছু হটবো না।"
"কুরআনে ‘রিযওয়ানের শপথ’-এর উল্লেখ আছে কি?","হ্যাঁ, এতে শপথকারীদের পুরস্কারের প্রতিশ্রুতি দেওয়া হয়েছে।"
"হুদাইবিয়া সন্ধির কুরাইশ প্রতিনিধি কে ছিলেন?","সুহাইল বিন আমর।"
"সন্ধিপত্র লেখার দায়িত্বে কে ছিলেন?","হযরত আলী (রা)।"
"সুহাইল ‘আল্লাহর রাসূল’ শব্দে আপত্তি জানালে হযরত (স) কী করেন?","নিজ হাতে শব্দটি কেটে দেন, কিন্তু বলেন: ‘আমি খোদার রাসূল।’"
"হুদাইবিয়া সন্ধির মেয়াদ কত বছর স্থির হয়?","দশ বছর।"
"সন্ধির একটি শর্ত ছিল মুসলমানরা এ বছর কী করবে না?","হজ্জ করবে না, ফিরে যাবে।"
"সন্ধি অনুযায়ী মুসলমানরা পরের বছর কত দিন মক্কায় থাকতে পারবে?","মাত্র তিন দিন।"
"সন্ধি অনুযায়ী মুসলমানরা কী ধরনের অস্ত্র রাখতে পারবে?","শুধু কোষবদ্ধ তলোয়ার।"
"সন্ধির নিয়ম অনুযায়ী, কোনো মুসলমান মক্কায় গেলে তাকে ফেরত দেওয়া হবে কি?","না, ফেরত দেওয়া হবে না।"
"কোনো কাফির মদীনায় গেলে তাকে কী করতে হবে?","তাকে ফেরত পাঠাতে হবে।"
"হুদাইবিয়া সন্ধির সময় কী ঘটেছিল হযরত আবু জান্দালের ক্ষেত্রে?","তিনি শৃঙ্খলিত অবস্থায় এসে মুসলমানদের কাছে আশ্রয় চান।"
"আবু জান্দাল (রা)-এর পিতা কে ছিলেন?","সুহাইল বিন আমর।"
"আবু জান্দালকে মুসলমানদের সঙ্গে যেতে দেওয়া হয়নি কেন?","সন্ধির শর্ত অনুযায়ী তাকে ফেরত দিতে হয়েছিল।"
"হযরত উমর (রা) এ পরিস্থিতিতে কী প্রশ্ন করেন রাসূল (স)-কে?","‘আপনি যখন সত্য নবী, আমরা কেন এ অপমান সহ্য করবো?’"
"রাসূল (স) উমর (রা)-কে কী জবাব দেন?","‘আমি খোদার পয়গাম্বর, তাঁর হুকুম অমান্য করতে পারি না।’"
"হযরত (স) আবু জান্দালকে কী উপদেশ দেন?","‘ধৈর্য ধরো, খোদা তোমার জন্য পথ বের করবেন।’"
"হুদাইবিয়া চুক্তির পর হযরত (স) কোথায় কুরবানী করেন?","সেখানেই, হুদাইবিয়ায়।"
"হুদাইবিয়া চুক্তির পর কোন সূরা নাযিল হয়?","সূরা ফাতাহ।"
"কুরআনে হুদাইবিয়া চুক্তিকে কী বলা হয়েছে?","‘ফাতহুম মুবীন’ অর্থাৎ সুস্পষ্ট বিজয়।"
"হুদাইবিয়া চুক্তির ফলে মুসলমান ও কাফিরদের মধ্যে কী পরিবর্তন আসে?","যুদ্ধাবস্থা শেষ হয়, পারস্পরিক যোগাযোগের সুযোগ সৃষ্টি হয়।"
"চুক্তির পর অমুসলিমরা কীভাবে ইসলামের সঙ্গে পরিচিত হয়?","তারা মদীনায় এসে মুসলমানদের নৈতিকতা ও আচরণ প্রত্যক্ষ করে।"
"হুদাইবিয়া চুক্তির পর কত সময়ের মধ্যে বহু লোক ইসলাম গ্রহণ করে?","দেড় থেকে দুই বছরের মধ্যে।"
"চুক্তির পর কোন বিশিষ্ট ব্যক্তিরা ইসলাম গ্রহণ করেন?","হযরত খালিদ বিন ওয়ালিদ (রা) ও হযরত আমর বিন আস (রা)।"
"হুদাইবিয়া চুক্তি ইসলামের ইতিহাসে কেন গুরুত্বপূর্ণ?","এটি ইসলামী দাওয়াত ও বিজয়ের এক যুগান্তকারী সূচনা।"
"কুরাইশরা পরবর্তীতে হুদাইবিয়া চুক্তি কেন ভঙ্গ করেছিল?","ইসলামের ক্রমবর্ধমান শক্তি ও প্রভাব দেখে আতঙ্কিত হয়ে।"
