"front","back"
"ওহুদের যুদ্ধের পর আরবের বহু গোত্র ইসলামের প্রতি কী মনোভাব পোষণ করেছিলো?","ওহুদের যুদ্ধের পর বহু গোত্র ইসলামের বিরুদ্ধে মাথা তুলে দাঁড়িয়েছিলো।"
"কাতান এলাকার জুফায়দ গোত্র কোন মাসে মদীনা আক্রমণের পরিকল্পনা করেছিলো?","চতুর্থ হিজরীর মুহাররম মাসে।"
"কাতান এলাকার আক্রমণের মুকাবিলায় কাকে পাঠানো হয়েছিলো?","হযরত আবু সালামা (রা)-কে।"
"লেহইয়ান গোত্রের সর্দার সুফিয়ান কী পরিণতি বরণ করেছিলেন?","তিনি যুদ্ধে নিহত হন।"
"লেহইয়ান গোত্রের বিরুদ্ধে অভিযান পরিচালনা করেন কে?","হযরত আব্দুল্লাহ বিন আনীস (রা)।"
"কালাব গোত্রের প্রধান আবু বারাআ কী অনুরোধ করেছিলেন?","তিনি হযরত (স)-কে অনুরোধ করেন কিছু লোক তাঁর কওমে ইসলামের দাওয়াত দিতে পাঠানোর জন্য।"
"আবু বারাআ-এর অনুরোধে কতজন সাহাবীকে পাঠানো হয়েছিলো?","সত্তর জন সাহাবীকে।"
"সত্তর জন সাহাবীর মধ্যে কে একমাত্র বেঁচে ফিরে আসেন?","হযরত আমর বিন উমাইয়া (রা)।"
"হযরত আমর বিন উমাইয়া পথে আ’মের গোত্রের দুইজনকে হত্যা করলে নবী (স) কী প্রতিক্রিয়া দেখান?","তিনি অসন্তোষ প্রকাশ করেন এবং হত্যার ক্ষতিপূরণ প্রদানের ঘোষণা দেন।"
"হযরত খুবাইব (রা) কাদের হাতে শহীদ হন?","হারেস বিন আ’মেরের পুত্রদের হাতে।"
"হযরত জায়েদ (রা)-কে কে হত্যা করেছিলো?","সুফিয়ান বিন উমাইয়া নামক এক ব্যক্তি।"
"বদর যুদ্ধের পর মুসলমানদের সঙ্গে ইহুদীদের সম্পর্ক কেমন হয়েছিলো?","সম্পর্কের অবনতি ঘটে এবং তারা শত্রুতে পরিণত হয়।"
"ইহুদী আলেম ও পীরগণ ইসলামী আন্দোলনের প্রতি দুশ্চিন্তাগ্রস্ত হয় কেন?","ইসলামের অগ্রগতিতে তাদের ধর্মীয় প্রভাব ও ব্যবসা ক্ষতিগ্রস্ত হচ্ছিলো।"
"ইহুদীরা ইসলামী আন্দোলনের বিরোধিতা করে কেন?","তারা ভাবছিলো একদিন ইসলাম তাদের আধিপত্য ভেঙে দেবে।"
"কুরআনে ইহুদীদের কোন কোন দুর্নীতির কথা উল্লেখ আছে?","মিথ্যা শ্রবণ, হারাম মাল ভক্ষণ, সূদ খাওয়া ও অন্যের ধন আত্মসাৎ।"
"বদরের পর কোন ইহুদি গোত্র প্রথম মুসলমানদের সঙ্গে যুদ্ধ ঘোষণা করেছিলো?","বনী কায়নুকা গোত্র।"
"বনী কায়নুকার সঙ্গে যুদ্ধের মূল কারণ কী ছিলো?","এক ইহুদী একজন মুসলিম মহিলার শ্লীলতাহানি করে।"
"বনী কায়নুকার যুদ্ধের পর তাদের কী শাস্তি দেওয়া হয়?","তাদের নির্বাসিত করা হয়।"
"কা’ব বিন আশরাফ কে ছিলেন?","তিনি ছিলেন ইহুদীদের একজন খ্যাতনামা কবি ও মুসলমানদের বিরুদ্ধে উত্তেজনাকারী।"
"কা’ব বিন আশরাফ বদর যুদ্ধের পর কী করতেন?","তিনি মুসলমানদের বিরুদ্ধে কবিতা লিখে লোকদের উত্তেজিত করতেন।"
"কা’ব বিন আশরাফকে কে হত্যা করেন?","মুহাম্মদ বিন মুসলিমা (রা)।"
"কা’ব বিন আশরাফ হত্যার অনুমতি কে দেন?","রাসূলুল্লাহ (স)।"
"বনু নযীর গোত্র কী অপরাধ করেছিলো?","তারা নবী (স)-কে হত্যার ষড়যন্ত্র করে এবং চুক্তি ভঙ্গ করে।"
"বনু নযীর গোত্রের অবরোধ কতদিন স্থায়ী ছিলো?","১৫ দিন পর্যন্ত।"
"বনু নযীর গোত্রকে কী শাস্তি দেওয়া হয়েছিলো?","তাদের মদীনা থেকে নির্বাসিত করা হয়।"
"বনু নযীর গোত্র নির্বাসনের পর কোথায় চলে যায়?","তাদের অনেকেই খায়বর চলে যায়।"
"ওহুদের যুদ্ধের পর ইসলামের বিরুদ্ধে কারা একত্র হলো?","মুশরিক আরব ও ইহুদীরা একত্র হলো।"
"রাসূল (স) পঞ্চম হিজরীর কোন কোন স্থানে অভিযান পরিচালনা করেন?","জাতুরাকা ও দমমাতুল জুনদাল।"
"বদর যুদ্ধের আগে আরবের বেশিরভাগ গোত্র ইসলামের প্রতি কেমন মনোভাব পোষণ করতো?","তারা ইসলামী আন্দোলনের বিরোধী ছিলো।"
"ইহুদীদের ধর্মীয় অহংকার ভেঙে যায় কেন?","কারণ ইসলামী শিক্ষার মাধ্যমে প্রকৃত ধার্মিকতার পরিচয় মানুষ জানতে পারে।"
"সুফফা বলতে কী বোঝায়?","মসজিদে নববীর ভেতরের এক উঁচু চত্বর যেখানে দরিদ্র সাহাবীরা বাস করতেন।"
"সুফফার সাহাবীদের প্রধান কাজ কী ছিলো?","দ্বীনী ইলম চর্চা ও ইবাদতে মশগুল থাকা।"
"ইহুদী আলেমদের নৈতিক দুর্নীতির কারণে কোন সূরাগুলোতে আয়াত নাযিল হয়?","বাকারা, মায়েদা ও আলে ইমরান সূরায়।"
"বনী কায়নুকা গোত্রের সঙ্গে যুদ্ধ কোন হিজরীতে হয়েছিলো?","দ্বিতীয় হিজরীর শাওয়াল মাসে।"
"বনী কায়নুকা ইহুদীরা মুসলমানদের কী বলেছিলো?","“আমরা বদরে পরাজিত কুরাইশ নই, যুদ্ধ কাকে বলে তা আমরা দেখাবো।”"
"কা’ব বিন আশরাফ মুসলমানদের বিরুদ্ধে কোথায় গিয়ে কবিতা পাঠ করতেন?","মক্কায় গিয়ে।"
"রাসূল (স) কা’ব বিন আশরাফ হত্যার অনুমতি দেন কেন?","কারণ সে মুসলমানদের বিরুদ্ধে ষড়যন্ত্র ও হত্যার প্রচেষ্টা চালাচ্ছিলো।"
"বনু নযীরের অবরোধ শেষে তারা কী শর্তে মদীনা ত্যাগ করে?","উটের পিঠে যত মাল বহন করা যায় তত নিয়ে যেতে পারে এমন শর্তে।"
"বনু নযীর গোত্রের সঙ্গে মুসলমানদের চূড়ান্ত সংঘর্ষের কারণ কী ছিলো?","তাদের ধারাবাহিক বিশ্বাসঘাতকতা ও নবী (স)-কে হত্যার ষড়যন্ত্র।"
