"front","back"
"ফুজ্জারের যুদ্ধ কোন দুটি গোত্রের মধ্যে সংঘটিত হয়?","ফুজ্জারের যুদ্ধ কুরাইশ ও কায়েস গোত্রের মধ্যে সংঘটিত হয়।"
"ফুজ্জারের যুদ্ধে কুরাইশদের ভূমিকা কেমন ছিল?","কুরাইশদের ভূমিকা সম্পূর্ণ ন্যায়ানুগ ছিল।"
"হযরত মুহাম্মদ (সা.) কেন ফুজ্জারের যুদ্ধে অংশগ্রহণ করেছিলেন?","কারণ কুরাইশদের পক্ষ ন্যায়সঙ্গত ছিল।"
"ফুজ্জারের যুদ্ধে হযরত (সা.) কি কাউকে আঘাত করেছিলেন?","না, তিনি কাউকে আঘাত করেননি।"
"ফুজ্জারের যুদ্ধ কীভাবে শেষ হয়?","এ যুদ্ধের সমাপ্তি সন্ধির মাধ্যমে ঘটে।"
"হিলফুল ফুযুল চুক্তি কেন করা হয়েছিল?","আরবের ক্রমাগত যুদ্ধ-বিগ্রহ ও অশান্তি দূর করার জন্য।"
"হিলফুল ফুযুল চুক্তির প্রস্তাব কে দেন?","জুবাইর ইবনে আবদুল মুত্তালিব এই চুক্তির প্রস্তাব দেন।"
"হিলফুল ফুযুল চুক্তির একটি প্রধান উদ্দেশ্য কী ছিল?","দেশ থেকে অশান্তি দূর করা।"
"হিলফুল ফুযুল চুক্তি অনুযায়ী কার সাহায্য করার অঙ্গীকার করা হয়?","গরীব ও মজলুমদের সাহায্য করার অঙ্গীকার করা হয়।"
"হিলফুল ফুযুল চুক্তি অনুযায়ী মক্কায় কাকে আশ্রয় দেওয়া হবে না?","কোনো জালেমকে আশ্রয় দেওয়া হবে না।"
"হযরত (সা.) হিলফুল ফুযুল চুক্তি সম্পর্কে কী মন্তব্য করেন?","তিনি বলেন, ঐ চুক্তির বদলে যদি লাল রঙের উটও দেওয়া হতো, তবু তা গ্রহণ করতাম না।"
"আজ কেউ যদি হযরত (সা.)-কে এমন চুক্তির আহ্বান জানায়, তিনি কী করতেন?","তিনি বলেন, আজও যদি এমন চুক্তিতে আহ্বান করা হয়, আমি সাড়া দিতে প্রস্তুত।"
"কা’বা গৃহে সংস্কারের আগে কী অনুপস্থিত ছিল?","কা’বা গৃহে কোনো ছাদ ছিল না।"
"সংস্কারের আগে কা’বা গৃহের দেয়ালের উচ্চতা কেমন ছিল?","দেয়ালের উচ্চতা মানুষের দৈর্ঘ্যের সমান ছিল।"
"কা’বা গৃহে পানি জমার কারণ কী ছিল?","কা’বা নিচু স্থানে অবস্থিত থাকায় সেখানে পানি জমত।"
"‘হাজরে আসওয়াদ’ স্থাপন নিয়ে কারা বিবাদে জড়ায়?","কা’বার বিভিন্ন কুরাইশ গোত্র বিবাদে জড়িয়ে পড়ে।"
"‘হাজরে আসওয়াদ’ স্থাপনের বিবাদ মীমাংসার জন্য কী সিদ্ধান্ত নেওয়া হয়?","যে ব্যক্তি সকালে সবার আগে আসবে, তাকেই বিচারক করা হবে।"
"কে সকালে সবার আগে কা’বার প্রাঙ্গণে উপস্থিত হন?","সর্বপ্রথম উপস্থিত হন হযরত মুহাম্মদ (সা.)।"
"হযরত (সা.) কীভাবে হাজরে আসওয়াদ স্থাপন সংক্রান্ত বিবাদ মীমাংসা করেন?","তিনি একটি চাদরে পাথর রেখে সব গোত্রকে একসাথে তা তুলতে বলেন, এরপর নিজ হাতে তা স্থাপন করেন।"
"‘হিত্তিম’ বলতে কী বোঝায়?","কা’বার সেই বাইরের অংশ যা নতুন নির্মাণে বাইরে রেখে দেওয়া হয়।"
"কুরাইশদের প্রাচীন পেশা কী ছিল?","কুরাইশদের প্রাচীন পেশা ছিল ব্যবসা।"
"হযরত (সা.) প্রথম কার সঙ্গে ব্যবসায় সফর করেন?","তিনি প্রথমে চাচা আবু তালিবের সঙ্গে ব্যবসায় সফর করেন।"
"হযরত (সা.) ব্যবসায়ে কিসের জন্য বিখ্যাত হন?","তিনি সততা, বিশ্বস্ততা ও ন্যায়পরায়ণতার জন্য বিখ্যাত হন।"
"লোকেরা হযরত (সা.)-কে কোন দুটি উপাধি দেয়?","লোকেরা তাকে আস-সাদিক (সত্যবাদী) ও আল-আমীন (বিশ্বস্ত) উপাধি দেয়।"
"হযরত (সা.) কোন কোন স্থানে ব্যবসায়িক সফর করেন?","তিনি সিরিয়া, বসরা, বাহরাইন ও ইয়েমেনে ব্যবসায়িক সফর করেন।"
"খাদীজা (রা.) কে ছিলেন?","তিনি আরবের এক সম্ভ্রান্ত ও বিত্তশালী মহিলা ছিলেন।"
"হযরত (সা.)-এর সঙ্গে খাদীজা (রা.)-এর সম্পর্ক কী ছিল?","তিনি হযরত (সা.)-এর দূর সম্পর্কের চাচাতো বোন ছিলেন।"
"খাদীজা (রা.)-কে কোন নামে ডাকা হতো?","তাহিরা (পবিত্রা) নামে ডাকা হতো।"
"খাদীজা (রা.) কীভাবে ব্যবসা পরিচালনা করতেন?","তিনি লোকদের পুঁজি ও পণ্য দিয়ে ব্যবসা পরিচালনা করতেন।"
"খাদীজা (রা.) কেন হযরত (সা.)-কে নিয়োগ দেন?","তার সততা ও সচ্চরিত্রে মুগ্ধ হয়ে।"
"বিবাহের সময় হযরত (সা.)-এর বয়স কত ছিল?","হযরত (সা.)-এর বয়স ছিল ২৫ বছর।"
"বিবাহের সময় খাদীজা (রা.)-এর বয়স কত ছিল?","খাদীজা (রা.)-এর বয়স ছিল ৪০ বছর।"
"খাদীজা (রা.) ও হযরত (সা.)-এর বিয়ের মোহরানা কত নির্ধারিত হয়?","বিয়ের মোহরানা নির্ধারিত হয় ৫০০ তালায়ী দিরহাম।"
"খাদীজা (রা.)-এর পূর্ববর্তী স্বামীদের সন্তান কয়জন ছিল?","দুই পুত্র ও এক কন্যা।"
"হযরত (সা.)-এর মা গর্ভাবস্থায় কী স্বপ্ন দেখেছিলেন?","তিনি দেখেন তাঁর দেহ থেকে আলো নির্গত হয়ে সিরিয়া পর্যন্ত আলোকিত হচ্ছে।"
"হযরত (সা.)-এর জন্মের সময় কোন ধর্মাবলম্বীরা নতুন নবীর অপেক্ষায় ছিল?","ইহুদি ও খ্রিষ্টানরা।"
"কা’বা সংস্কারের সময় লুঙ্গি খোলার ঘটনায় হযরত (সা.)-এর কী ঘটে?","তিনি বেহুঁশ হয়ে যান এবং পরে বলেন, ‘আমার লুঙ্গি, আমার লুঙ্গি’।"
"লুঙ্গি খোলার সময় হযরত (সা.) কাকে দেখেন?","তিনি সাদা পোশাক পরিহিত এক ব্যক্তিকে দেখেন।"
"সে ব্যক্তি হযরত (সা.)-কে কী বলেছিলেন?","তিনি বলেন, শিগগির সতর আবৃত কর।"
"হযরত (সা.) প্রথমবার গায়েবী আওয়াজ কখন শুনেছিলেন?","কা’বা সংস্কারের সময় লুঙ্গি খোলার ঘটনায়।"
"হযরত (সা.) কিসসা বলার আসরে যোগ দিতে গিয়ে কী ঘটেছিল?","তিনি পথে একটি বিয়ে মজলিসে ঘুমিয়ে পড়েন এবং কিসসা আসরে যেতে পারেননি।"
"আল্লাহ তাআলা হযরত (সা.)-কে কী থেকে রক্ষা করেন?","তিনি কুসংসর্গ ও মন্দ পরিবেশ থেকে রক্ষা পান।"
"হযরত (সা.)-এর যুগে মক্কা কীসের কেন্দ্র ছিল?","মূর্তি-পূজার কেন্দ্র।"
"কা’বা গৃহে তখন কয়টি মূর্তি ছিল?","কা’বা গৃহে ৩৬০টি মূর্তি ছিল।"
"কা’বার মুতাওয়াল্লী কারা ছিল?","কুরাইশরা কা’বার মুতাওয়াল্লী ছিল।"
"হযরত (সা.) কি কখনো মূর্তির সামনে মাথা নত করেছেন?","না, তিনি কখনো মূর্তির সামনে মাথা নত করেননি।"
"হযরত (সা.) কি মুশরিকদের অনুষ্ঠানে অংশ নিয়েছিলেন?","না, তিনি কখনো অংশ নেননি।"
"হযরত (সা.) কি কুরাইশদের খারাপ রীতিনীতিতে সহযোগিতা করেছিলেন?","না, তিনি কখনো সহযোগিতা করেননি।"
