"front","back"
"ইসলামী পরিভাষায় 'মু'জিযা' বলতে কী বোঝায়?","এটি নবুয়্যাত প্রমাণের জন্য আল্লাহ প্রদত্ত একটি অলৌকিক ঘটনা বা চূড়ান্ত দলিল যা স্বাভাবিক নিয়মের ব্যতিক্রম।"
"কুরআন মজিদকে রাসূল (স.)-এর কোন মু'জিযা হিসেবে গণ্য করা হয়?","সর্বশ্রেষ্ঠ ও স্থায়ী মু'জিযা"
"চন্দ্র দ্বিখণ্ডিত হওয়ার ঘটনাটি কোথায় সংঘটিত হয়?","মিনায়"
"চন্দ্র দ্বিখণ্ডিত হওয়ার ঘটনা সরাসরি কার সাক্ষাতে ঘটেছিল?","হযরত আবদুল্লাহ বিন মাসউদ (রা.)-এর"
"চন্দ্র দ্বিখণ্ডিত হওয়ার পর কাফিররা কী প্রতিক্রিয়া দেখায়?","তারা বলল যে এটি জাদু এবং এরকমই হয়ে আসছে"
"মি'রাজ শব্দের আভিধানিক অর্থ কী?","ঊর্ধ্বে আরোহণ করা"
"কুরআনে মি'রাজের ঘটনাকে কী নামে উল্লেখ করা হয়েছে?","ইসরা (রাতের ভ্রমণ)"
"মি'রাজের রাতে রাসূল (স.)-এর বক্ষ বিদীর্ণ করে কে তা জমজমের পানি দিয়ে ধুয়ে ফেলেন?","জিবরাঈল (আ.)"
"মি'রাজের যানবাহনের নাম কী ছিল?","বুরাক"
"বুরাকের গতি কেমন ছিল?","খচ্চরের চেয়ে ছোট কিন্তু অত্যন্ত দ্রুতগতি সম্পন্ন"
"মি'রাজের রাতে রাসূল (স.) প্রথমে কোথায় গমন করেন?","বায়তুল মুকাদ্দাস (মসজিদে আকসা)"
"বায়তুল মুকাদ্দাসে রাসূল (স.) কত রাকাত নামাজ পড়েন?","দুই রাকাত"
"জিবরাঈল (আ.) রাসূল (স.)-এর সামনে শরাব ও দুধের পেয়ালা উপস্থিত করলে তিনি কোনটি গ্রহণ করেন?","দুধের পেয়ালা"
"দুধ গ্রহণ করার ব্যাপারে জিবরাঈল (আ.) কী মন্তব্য করেন?","আপনি স্বভাব ধর্মকেই (দ্বীনে ফিতরাত) অবলম্বন করেছেন"
"প্রথম আকাশে রাসূল (স.)-এর সাথে কার সাক্ষাত হয়?","হযরত আদম (আ.)-এর"
"দ্বিতীয় আকাশে রাসূল (স.)-এর সাথে কার সাক্ষাত হয়?","হযরত ইয়াহইয়া (আ.) ও হযরত ঈসা (আ.)-এর"
"তৃতীয় আকাশে রাসূল (স.)-এর সাথে কার সাক্ষাত হয়?","হযরত ইউসুফ (আ.)-এর"
"চতুর্থ আকাশে রাসূল (স.)-এর সাথে কার সাক্ষাত হয়?","হযরত ইদরীস (আ.)-এর"
"পঞ্চম আকাশে রাসূল (স.)-এর সাথে কার সাক্ষাত হয়?","হযরত হারুন (আ.)-এর"
"ষষ্ঠ আকাশে রাসূল (স.)-এর সাথে কার সাক্ষাত হয়?","হযরত মূসা (আ.)-এর"
"সপ্তম আকাশে রাসূল (স.)-এর সাথে কার সাক্ষাত হয়?","হযরত ইবরাহীম (আ.)-এর"
"সিদরাতুল মুনতাহা কী?","একটি সমুন্নত বরই গাছ যা সপ্তম আকাশে অবস্থিত"
"মি'রাজের রাতে আল্লাহ তাআলা最初 কত ওয়াক্ত নামাজ ফরজ করেন?","পঞ্চাশ ওয়াক্ত"
"হযরত মূসা (আ.)-এর পরামর্শে নামাজের ওয়াক্ত最终 কতটুকু কমে আসে?","পাঁচ ওয়াক্ত"
"পাঁচ ওয়াক্ত নামাজ আদায়কারীকে কত ওয়াক্তের সওয়াব দেওয়ার ওয়াদা করা হয়?","পঞ্চাশ ওয়াক্তের সওয়াব"
"মি'রাজের উপহার হিসেবে কোন সূরার শেষ আয়াতসমূহ দেওয়া হয়?","সূরা বাকারার শেষ আয়াতসমূহ"
"মি'রাজের সময় রাসূল (স.) কী কী দেখার সুযোগ পান?","বেহেশত, দোযখ এবং মৃত্যু-পরবর্তী জীবনের কিছু দৃশ্য"
"মি'রাজের ঘটনা শুনে কুরাইশরা কী প্রতিক্রিয়া দেখায়?","তারা রাসূল (স.)-কে মিথ্যাবাদী বলে অভিহিত করে"
"মি'রাজ সম্পর্কিত কুরআনের সূরাটি কী?","সূরা বনী ইসরাঈল"
"সূরা বনী ইসরাঈলে বনী ইসরাঈলদেরকে কী সতর্ক করা হয়?","তাদেরকে শেষ সুযোগ দেওয়া হচ্ছে; তারা যদি এই নবীর আনুগত্য না করে তবে পতন অবশ্যম্ভাবী"
"ইসলামী সমাজের বুনিয়াদী নীতিসমূহ কতটি এবং কোথায় উল্লেখিত হয়েছে?","১২টি নীতি; সূরা বনী ইসরাঈলে (সূরা ১৭)"
"ইসলামী সমাজের বুনিয়াদী নীতিগুলোর মধ্যে প্রথম নীতি কী?","আল্লাহর সাথে কাউকে শরীক না করা"
"সূরা বনী ইসরাঈলে হিজরতের জন্য রাসূল (স.)-কে কোন দোয়া শিখানো হয়?","'হে প্রভু! আমাকে ভালো জায়গা চিনে নেবার তওফীক দিও এবং এখান থেকে সহি-সালামতে বের করে নিও আর শত্রুর ওপর বিজয় দান করো'"
"মি'রাজের পর কাফিরদের সাথে কথোপকথনের ধরণ কেমন হয়?","চূড়ান্ত ও সুস্পষ্ট; বুঝানোর পর্যায় শেষ হয়ে যায়"
"সূরা আনকাবুতে মুমিনদেরকে কীভাবে উৎসাহিত করা হয়?","ধৈর্য ধারণ করতে বলা হয় এবং পূর্ববর্তী নবীদের সংগ্রামের উদাহরণ দেওয়া হয়"
"হিজরতের প্রস্তুতির সময় মুমিনদের মধ্যে কোন ভয় দূর করা হয়?","মৃত্যুভয় ও রিযিকের অভাবের ভয়"
"মি'রাজের ঘটনা হিজরতের কত আগে সংঘটিত হয়?","হিজরতের প্রায় দেড় বছর আগে"
"মি'রাজের রাতে বায়তুল মুকাদ্দাসে অন্যান্য নবীরা রাসূল (স.)-এর পিছনে নামাজ পড়েন; এটি কী প্রমাণ করে?","তাঁর নেতৃত্ব ও সর্বশেষ নবী হওয়ার মর্যাদা"
"মি'রাজের মাধ্যমে রাসূল (স.)-কে যে গায়েবী জ্ঞান দেওয়া হয়, তার উদ্দেশ্য কী?","তাঁর ঈমানকে দৃঢ় করা এবং উম্মতকে সঠিকভাবে guidance দেওয়ার সামর্থ্য দেওয়া"
"মি'রাজের ঘটনা মুসলমানদের জন্য কীসের ইঙ্গিত বহন করে?","ভবিষ্যতের বিজয় ও ইসলামী রাষ্ট্র প্রতিষ্ঠার আশার বার্তা"
