"front","back"
"আকাবার শপথ সম্পর্কে আব্বাস বিন উবাদাহ (রা.) কী সতর্ক করেছিলেন?","'তোমরা সারা দুনিয়ার বিরুদ্ধে যুদ্ধ ঘোষণা করছো'"
"হিজরতের পর কুরাইশদের জন্য প্রধান বিপদ কী ছিল?","ইসলামের একটি সংগঠিত কেন্দ্র প্রতিষ্ঠা এবং তাদের সিরিয়া বাণিজ্য পথের হুমকি"
"মদিনায় ইসলামী রাষ্ট্র প্রতিষ্ঠার পর কুরাইশরা কী চিঠি পাঠায়?","আবদুল্লাহ বিন উবাইকে, মুসলমানদের তাড়িয়ে দিতে বা যুদ্ধের হুমকি দিয়ে"
"সা'দ বিন মা'আজ (রা.) আবু জেহেলকে কী বলেছিলেন?","'তোমরা যদি বাধা দাও, আমি তোমাদের বাণিজ্য পথ বন্ধ করে দেব'"
"নাখলায় কে নিহত হয়?","আমর বিন হাযরামী"
"নাখলা অভিযানে রাসূল (স.)-এর নির্দেশ কী ছিল?","কুরাইশদের অবস্থান জেনে নিয়ে খবর দেওয়া, আক্রমণ করার অনুমতি দেওয়া হয়নি"
"বদর যুদ্ধের পটভূমি কী?","আবু সুফিয়ানের নেতৃত্বে কুরাইশ বাণিজ্য কাফেলা এবং তাদের বিরুদ্ধে সৈন্য পাঠানো"
"বদর যুদ্ধে কুরাইশ সৈন্য সংখ্যা কত ছিল?","প্রায় ১০০০ জন"
"বদর যুদ্ধে মুসলিম সৈন্য সংখ্যা কত ছিল?","৩১৩ জন"
"বদর যুদ্ধে মুসলিমদের অস্ত্রশস্ত্র কী পরিস্থিতিতে ছিল?","মাত্র ২-৩টি ঘোড়া, ৭০টি উট, ৬০টি লৌহবর্ম"
"বদর যুদ্ধের আগে রাসূল (স.) সাহাবীদের কী বলেছিলেন?","'আল্লাহ ওয়াদা করেছেন, দুটি দলের যেকোনো একটি তোমরা পাবে'"
"মিকদাদ বিন আমর (রা.) কী বলেছিলেন?","'আমরা বনী ইসরাঈলের মতো বলব না, আপনি ও আপনার আল্লাহ যান লড়াই করুন'"
"সা'দ বিন মা'আজ (রা.)-এর বক্তব্যের মূল বিষয় কী ছিল?","'আমরা আপনার সাথে সমুদ্রে ঝাঁপ দিতেও প্রস্তুত'"
"বদর যুদ্ধের আগে মুসলিমদের মনোভাব কেমন ছিল?","কিছু সাহাবী ভীত ছিলেন, মনে হচ্ছিল মৃত্যুর দিকে এগোচ্ছেন"
"বদর যুদ্ধের রাতে কী দুটি অপ্রত্যাশিত ঘটনা ঘটে?","মুসলিমরা প্রশান্তিতে ঘুমায় এবং বৃষ্টি হয়ে জমিন শক্ত হয়"
"বদর যুদ্ধে রাসূল (স.) কী দোয়া করেছিলেন?","'হে আল্লাহ! তোমার যে সাহায্যের প্রতিশ্রুতি দিয়েছিলে, এখন তা পাঠাও'"
"বদর যুদ্ধে কুরাইশদের কতজন নিহত হয়?","প্রায় ৭০ জন"
"বদর যুদ্ধে মুসলিমদের কতজন শহীদ হন?","১৪ জন (৬ মুহাজির, ৮ আনসার)"
"বদর যুদ্ধে বন্দীদের সাথে কী আচরণ করা হয়?","অত্যন্ত সদাচরণ, নিজেরা কষ্ট স্বীকার করে তাদের সুবিধা দেওয়া হয়"
"বন্দীদের মুক্তির কী শর্ত দেওয়া হয়?","মুক্তিপণ বা দশটি শিশুকে শিক্ষাদানের বিনিময়ে মুক্তি"
"বদর যুদ্ধের পর কুরআনে গনীমত সম্পর্কে কী বলা হয়?","গনীমত আল্লাহ ও তাঁর রাসূলের মালিকানায়, তারা যেভাবে চান বণ্টন করবেন"
"কুরআনে বদর যুদ্ধে বালু নিক্ষেপ সম্পর্কে কী বলা হয়?","'তুমি ছুঁড়োনি, বরং আল্লাহ ছুঁড়েছেন' (সূরা আনফাল: ১৭)"
"ইসলামে যুদ্ধ থেকে পলায়ন কীসের সমান?","তিনটি গুরুতর গুনাহের একটি (শিরক, পিতামাতার অবাধ্যতা, যুদ্ধ থেকে পলায়ন)"
"ধন-সম্পদ ও সন্তান-সন্ততি সম্পর্কে কুরআনে কী বলা হয়?","'এগুলো তোমাদের পরীক্ষার মাধ্যম' (সূরা আনফাল: ২৮)"
"বদর যুদ্ধের পর মুসলিমদের কী নির্দেশ দেওয়া হয়?","'যখন কোনো দলের সাথে মুকাবেলা হয়, দৃঢ় থাকো এবং আল্লাহকে স্মরণ করো'"
"ওহুদ যুদ্ধের কারণ কী?","বদরে নিহত কুরাইশদের রক্তের প্রতিশোধ এবং ইহুদীদের উত্তেজনা"
"ওহুদ যুদ্ধে কুরাইশ সৈন্য সংখ্যা কত ছিল?","প্রায় ৩০০০ জন"
"ওহুদ যুদ্ধে মুসলিম সৈন্য সংখ্যা কত ছিল?","প্রথমে ১০০০, পরে ৭০০ (৩০০ মুনাফিক ফিরে যায়)"
"কে ৩০০ মুনাফিক নিয়ে ফিরে যায়?","আবদুল্লাহ বিন উবাই"
"ওহুদে কোন কিশোরদের ফেরত পাঠানো হয়?","রাফে ও সামারাহ (তবে পরে সামারাহকে রাখা হয়)"
"ওহুদের সুড়ঙ্গ পথে কাকে প্রহরায় নিযুক্ত করা হয়?","আবদুল্লাহ বিন জুবাইরকে ৫০ জন তীরন্দাজসহ"
"ওহুদে তীরন্দাজদের কী নির্দেশ দেওয়া হয়?","'পাখিরা আমাদের গোশত ছিঁড়ে খেলেও স্থান ত্যাগ করবে না'"
"ওহুদে মুসলিমদের বিপর্যয়ের কারণ কী?","তীরন্দাজদের নির্দেশ অমান্য করে গনীমতের মাল সংগ্রহে ব্যস্ত হওয়া"
"ওহুদে কে পেছন থেকে হামলা করে?","খালিদ বিন ওয়ালিদ"
"ওহুদে কতজন মুসলিম শহীদ হন?","৭০ জন"
"ওহুদ যুদ্ধের পর রাসূল (স.) কী নির্দেশ দেন?","হামরা-উল-আসাদ পর্যন্ত শত্রুদের অনুসরণ"
"ওহুদে মুসলিমদের মনোবল ধরে রাখতে কী বলা হয়?","'তোমাদেরই সমুন্নত হবে, যদি মুমিন হও' (সূরা আল-ইমরান: ১৩৯)"
"ওহুদের পর সূদ কীসের সাথে সম্পর্কিত?","ধন-সম্পদের মোহ দূর করার জন্য সূদ হারাম ঘোষিত হয়"
"ওহুদের পর মুসলিমদের কী আশ্বাস দেওয়া হয়?","'তোমরা জান্নাতের প্রত্যাশী, কিন্তু পরীক্ষা না হয়ে জান্নাত পাবে না'"
"রাসূল (স.)-এর শাহাদাতের গুজবের পর কী বলা হয়?","'মুহাম্মদ একজন রাসূল মাত্র, তাঁর আগেও রাসূল গেছেন' (সূরা আল-ইমরান: ১৪৪)"
"মৃত্যু-ভয় সম্পর্কে কী শিক্ষা দেওয়া হয়?","'নির্ধারিত সময়ের আগে কেউ মরবে না' - তাই আল্লাহর পথে অগ্রসর হতে হবে"
"ইসলামী আন্দোলনের আসল শক্তি কী?","এর উপস্থাপিত সত্যতা, না কোনো ব্যক্তিত্ব বা বস্তুগত শক্তির ওপর"
"বদর ও ওহুদ যুদ্ধের মূল পার্থক্য কী?","বদরে বিজয়, ওহুদের আংশিক পরাজয় - উভয়ই মুসলিমদের জন্য শিক্ষণীয়"
"ওহুদ যুদ্ধে মুসলিমদের প্রধান ভুল কী ছিল?","নেতার নির্দেশ অমান্য করা এবং ধন-সম্পদের মোহে পড়া"
"কুরআনে ওহুদ যুদ্ধের পর কী প্রতিশ্রুতি দেওয়া হয়?","'আল্লাহ তিন হাজার বা পাঁচ হাজার ফেরেশতা দিয়ে সাহায্য করতে পারেন'"
"ওহুদে মুসলিমদের ধৈর্য সম্পর্কে কী বলা হয়?","'আল্লাহ ধৈর্য ধারণকারীদের সাথে আছেন' (সূরা আল-ইমরান: ১৪৬)"
"ইসলামী যুদ্ধের উদ্দেশ্য কী?","দাওয়াত ও তাবলীগের পথ খোলা রাখা, না ধন-সম্পদ লাভ করা"
"বদর যুদ্ধে মুসলিমদের বিজয়ের রহস্য কী?","আল্লাহর সাহায্য এবং মুমিনদের দৃঢ় ঈমান"
"ওহুদ যুদ্ধের পর মুসলিমদের কীভাবে উৎসাহিত করা হয়?","পরাজয় সাময়িক, শেষ বিজয় মুমিনদেরই হবে"
"ইসলামী আন্দোলনে নেতার আনুগত্যের গুরুত্ব কী?","এটি দেহে প্রাণের মতো - নেতার নির্দেশ মান্য করা обязаatoire"
"ওহুদ যুদ্ধে মুনাফিকদের ভূমিকা কী ছিল?","তারা মুসলিমদের মনোবল ভাঙার চেষ্টা করেছিল এবং যুদ্ধ থেকে সরে পড়েছিল"
"বদর যুদ্ধের পর ইহুদীদের মনোভাব কী ছিল?","তারা মুসলিমদের বিরুদ্ধে কুরাইশদের উত্তেজিত করেছিল"
"ওহুদ যুদ্ধে শহীদদের জন্য শোক প্রকাশের নিয়ম কী?","মাতম করা এবং ছাতি পিটিয়ে কান্না করা নিষিদ্ধ"
"ইসলামী আন্দোলনের সাফল্যের চাবিকাঠি কী?","আল্লাহর ওপর ভরসা, ধৈর্য ধারণ এবং নেতার আনুগত্য"
