"front","back"
"হযরত মুহাম্মদ (সা.)-এর পিতার নাম কী?","আব্দুল্লাহ।"
"আব্দুল্লাহ কার পুত্র ছিলেন?","কা'বার মুতাওয়াল্লী আবদুল মুত্তালিবের পুত্র।"
"হযরত মুহাম্মদ (সা.)-এর বংশ কত প্রজন্ম আগে গিয়ে কার সাথে মিলিত হয়?","প্রায় ষাট পুরুষ আগে গিয়ে হযরত ইসমাঈল (আঃ)-এর সাথে মিলিত হয়।"
"রাসূলুল্লাহ (সা.)-এর বংশের নাম কী?","কুরাইশ।"
"কুরাইশ বংশকে কেন শ্রেষ্ঠ বলা হয়?","তারা কা'বার তত্ত্বাবধায়ক ছিল, হাজীদের সেবা করত এবং আরবে সবচেয়ে সম্মানিত বংশ হিসেবে পরিচিত ছিল।"
"কুরাইশ বংশের ইতিহাসে কোন ব্যক্তিদের নাম বিশেষভাবে উল্লেখযোগ্য?","আদনান, নাযার, ফাহার, কালাব, কুসসী।"
"কুসসী কে ছিলেন?","কা'বা শরীফের মুতাওয়াল্লী ছিলেন এবং হাজীদের পানি সরবরাহ ও মেহমানদারির ব্যবস্থা করেছিলেন।"
"কুরাইশরা কেন আরব দেশে নিরাপদে ব্যবসা-বাণিজ্য করতে পারতো?","কা'বার মর্যাদা ও হাজীদের সেবার কারণে তাদের কাফেলার ওপর কেউ হামলা করত না।"
"আব্দুল মুত্তালিবের কয়জন পুত্র ছিল?","দশজন (মতান্তরে বারোজন)।"
"আব্দুল মুত্তালিবের কোন পাঁচজন পুত্র ইসলামী ইতিহাসে খ্যাতি লাভ করেন?","আব্দুল্লাহ, আবু তালিব, হামযা (রা.), আব্বাস (রা.), ও আবু লাহাব।"
"হযরত মুহাম্মদ (সা.)-এর পিতা আব্দুল্লাহর স্ত্রীর নাম কী ছিল?","আমিনা বিনতে ওহাব।"
"আমিনা কোন বংশের ছিলেন?","কুরাইশের জাহারা গোত্রের, ওহাব বিন আবদুল মানাফের কন্যা।"
"বিবাহের সময় আব্দুল্লাহর বয়স কত ছিল?","মাত্র সতেরো বছর।"
"আব্দুল্লাহ কোথায় ইন্তেকাল করেন?","মদিনায়।"
"আব্দুল্লাহ ইন্তেকাল করার সময় আমিনা কী অবস্থায় ছিলেন?","অন্তঃসত্ত্বা।"
"হযরত মুহাম্মদ (সা.)-এর জন্ম কবে হয়েছিল?","ঈসায়ী ৫৭১ সালের ২০ এপ্রিল, ৯ রবিউল আউয়াল সোমবার সুবহে সাদিকে।"
"হযরত মুহাম্মদ (সা.)-এর জন্মের সময়কার ঐতিহাসিক গুরুত্ব কী ছিল?","মানব সমাজ ছিল জাহিলিয়াতের অন্ধকারে নিমজ্জিত; তাঁর আগমন হেদায়েতের আলো আনেন।"
"হযরত (সা.)-এর নাম কে রেখেছিলেন?","দাদা আবদুল মুত্তালিব।"
